SITIODESEMBARCO_ESPECIE_CAT;Cuartil_inf_Precio_Esp_Cat_Hist;Cuartil_sup_Precio_Esp_Cat_Hist
Distribuidoras de Tumaco_Caulolatilus affinis_Grande;6250;9000
Distribuidoras de Tumaco_Seriola rivoliana_Grande;9450;14550
Distribuidoras de Tumaco_Hyporthodus acanthistius_Grande;15300;16700
Distribuidoras de Tumaco_Lutjanus guttatus_Platero (para pargos);25000;28000
Distribuidoras de Tumaco_Lutjanus guttatus_Mediano;17000;21000
Distribuidoras de Tumaco_Melongena patula_Varios tamaños;3000;21000
Distribuidoras de Tumaco_Lolliguncula diomedeae_Grande;12000;14000
Distribuidoras de Tumaco_Scomberomorus sierra_Pequeño;2000;5000
Distribuidoras de Tumaco_Mugil cephalus_Grande;6000;7700
Distribuidoras de Tumaco_Sphoeroides spp._Grande;7000;8000
Distribuidoras de Tumaco_Scomberomorus sierra_Mediano;6000;9000
Puerto (Arauquita)_Pterygoplichthys multiradiatus_Revuelto;4000;4700
Puerto (Arauquita)_Pseudoplatystoma metaense_Pequeño;12000;15000
Muelle Principal (Puerto Leguízamo)_Prochilodus nigricans_Revuelto;8900;10000
Muelle Principal (Puerto Leguízamo)_Hoplias malabaricus_Revuelto;5000;8550
Muelle Principal (Puerto Leguízamo)_Brycon amazonicus_Revuelto;14000;16000
Distribuidoras de Tumaco_Epinephelus quinquefasciatus_Grande;11000;14000
Muelle Principal (Puerto Leguízamo)_Brachyplatystoma platynemum_Revuelto;14000;15000
Muelle Principal (Puerto Leguízamo)_Brachyplatystoma juruense_Revuelto;14550;15000
Muelle Principal (Puerto Leguízamo)_Pterygoplichthys pardalis_Revuelto;8300;10000
Muelle Principal (Puerto Leguízamo)_Astronotus ocellatus_Revuelto;10000;10900
Muelle Principal (Puerto Leguízamo)_Semaprochilodus insignis_Revuelto;7000;10000
Distribuidoras de Tumaco_Anadara spp._Varios tamaños;32000;33000
Distribuidoras de Tumaco_Sciades dowii_Grande;8350;11000
Distribuidoras de Tumaco_Cynoscion albus_Grande;26000;28000
Puerto principal (San Vicente del Caguán)_Aguarunichthys inpai_Revuelto;18000;19800
Puerto principal (San Vicente del Caguán)_Calophysus macropterus_Revuelto;14000;14000
Puerto principal (San Vicente del Caguán)_Pseudoplatystoma punctifer_Revuelto;16000;18000
San Antonio de Padua_Prochilodus magdalenae_Revuelto;800;2000
Muelle Principal (Puerto Leguízamo)_Pseudoplatystoma punctifer_Revuelto;14000;15000
San Antonio de Padua_Megaleporinus muyscorum_Revuelto;600;2500
San Antonio de Padua_Ageneiosus pardalis_Revuelto;10000;10000
San Antonio de Padua_Sturisomatichthys panamensis_Revuelto;1600;2000
San Antonio de Padua_Pimelodus punctatus_Mediano;600;2000
Distribuidoras de Tumaco_Coryphaena hippurus_Grande;9000;10000
Distribuidoras de Tumaco_Centropomus viridis_Grande;16000;20000
Distribuidoras de Tumaco_Callinectes spp._Varios tamaños;20000;24000
Paujil_Acestrorhynchus microlepis_Revuelto;2890;6230
Paujil_Pygocentrus cariba_Revuelto;3600;6700
Paujil_Prochilodus mariae_Revuelto;3600;6700
Paujil_Leporinus klausewitzi_Revuelto;3800;7015
Paujil_Brycon amazonicus_Revuelto;3600;6300
Paujil_Hoplerythrinus unitaeniatus_Revuelto;3375;6700
Paujil_Hoplias curupira_Revuelto;3600;6700
Puerto principal (San Vicente del Caguán)_Hydrolycus armatus_Revuelto;5000;5000
Puerto principal (San Vicente del Caguán)_Sorubimichthys planiceps_Revuelto;16000;17000
Puerto principal (San Vicente del Caguán)_Prochilodus nigricans_Revuelto;16000;20000
Puerto principal (San Vicente del Caguán)_Hemisorubim platyrhynchos_Revuelto;14000;14000
Bodegas (Leticia)_Zungaro zungaro_Revuelto;12000;12800
Distribuidoras de Tumaco_Caranx caballus_Grande;6000;8000
Bodegas (Leticia)_Brachyplatystoma rousseauxii_Revuelto;15000;16500
Bodegas (Leticia)_Phractocephalus hemioliopterus_Revuelto;13000;13000
Paujil_Astronotus mikoljii_Revuelto;3600;6835
Paujil_Aequidens tetramerus_Revuelto;4500;4500
Bodegas (Leticia)_Leiarius marmoratus_Revuelto;12000;12000
Bodegas (Leticia)_Sorubim lima_Revuelto;12250;13000
Bodegas (Leticia)_Pseudoplatystoma punctifer_Revuelto;12000;14000
Bodegas (Leticia)_Brachyplatystoma filamentosum_Revuelto;12000;12000
Bodegas (Leticia)_Ageneiosus inermis_Revuelto;12000;12000
Bodegas (Leticia)_Brachyplatystoma platynemum_Revuelto;12000;13000
Paujil_Pellona castelnaeana_Revuelto;3675;5975
Paujil_Pseudoplatystoma metaense_Revuelto;3375;6300
Paujil_Plagioscion squamosissimus_Revuelto;3675;6825
Paujil_Mylossoma albiscopum_Revuelto;3600;6700
Paujil_Semaprochilodus laticeps_Revuelto;3600;6700
Paujil_Cichla orinocensis_Revuelto;3600;6700
Paujil_Crenicichla sp. 2_Revuelto;3600;6200
Paujil_Hydrolycus armatus_Revuelto;3665;6735
Paujil_Cichla temensis_Revuelto;4080;6080
Paujil_Rhamdia spp._Revuelto;3600;6200
Paujil_Crenicichla sp._Revuelto;3600;6200
Paujil_Brachyplatystoma rousseauxii_Revuelto;3800;6700
Paujil_Pseudoplatystoma orinocoense_Revuelto;3450;6700
Paujil_Chalceus epakros_Revuelto;3600;6550
Paujil_Satanoperca daemon_Revuelto;3600;6700
Paujil_Pseudoplatystoma orinocoense_Varios tamaños;6200;6200
Paujil_Brycon amazonicus_Varios tamaños;3600;6125
Paujil_Brachyplatystoma vaillantii_Revuelto;3600;6700
Paujil_Hydrolycus wallacei_Revuelto;4300;6200
Bodegas (Leticia)_Mylossoma albiscopum_Revuelto;7200;12000
Bodegas (Leticia)_Prochilodus rubrotaeniatus_Revuelto;12000;13700
Distribuidoras de Tumaco_Coryphaena hippurus_Pequeño;6000;6000
Distribuidoras de Tumaco_Lutjanus guttatus_Pequeño;9000;12000
Distribuidoras de Tumaco_Cyclopsetta querna_Grande;6150;8850
Distribuidoras de Tumaco_Macrodon mordax_Grande;12000;15000
Desembarcadero (Murindó)_Ageneiosus pardalis_Revuelto;12000;12000
Bodegas (Leticia)_Hypophthalmus edentatus_Revuelto;6000;8000
Bodegas (Leticia)_Pseudoplatystoma punctifer_Mediano;12000;13700
Bodegas (Leticia)_Brachyplatystoma vaillantii_Revuelto;6000;12000
Bodegas (Leticia)_Brachyplatystoma tigrinum_Revuelto;12000;12000
El Puerto (Puerto Carreño)_Zungaro zungaro_Mediano;7450;12275
Puerto Principal (Leticia)_Hypostomus niceforoi_Revuelto;3760;5860
Puerto Principal (Leticia)_Hoplias malabaricus_Grande;6270;11450
Puerto Principal (Leticia)_Astronotus ocellatus_Grande;12860;20000
Puerto Principal (Leticia)_Pygocentrus nattereri_Grande;8570;13000
Puerto Principal (Leticia)_Pellona castelnaeana_Revuelto;11095;12805
Puerto Principal (Leticia)_Brachyplatystoma vaillantii_Revuelto;5700;7480
Puerto Principal (Leticia)_Potamorhina altamazonica_Pequeño;4230;9925
Puerto Principal (Leticia)_Leporinus agassizii_Pequeño;6920;11510
Puerto Principal (Leticia)_Pimelodus blochii_Pequeño;5600;11500
Puerto Principal (Leticia)_Mylossoma albiscopum_Grande;7450;15900
Puerto Principal (Leticia)_Prochilodus rubrotaeniatus_Revuelto;7900;9740
Puerto Principal (Leticia)_Colossoma macropomum_Grande;12000;20000
Puerto Principal (Leticia)_Brycon amazonicus_Revuelto;9055;11845
Puerto Principal (Leticia)_Hypophthalmus marginatus_Grande;8000;10790
Puerto Principal (Leticia)_Piaractus brachypomus_Pequeño;6560;18400
Puerto Principal (Leticia)_Pseudoplatystoma punctifer_Pequeño;9035;14960
Puerto Principal (Leticia)_Brachyplatystoma vaillantii_Pequeño;6640;12400
Puerto Principal (Leticia)_Zungaro zungaro_Pequeño;6100;10400
Puerto Principal (Leticia)_Hoplias malabaricus_Pequeño;5960;8610
