Cuenca o Litoral;Estrato menor;Estrato;Sitio desembarco;Tipo de unidad;Mes;Epoca;Cuartil_inf;Cuartil_sup
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;UEP;10;Meses Epoca Baja;87.175;325.375
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;UEP;11;Meses Epoca Baja;87.175;325.375
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;UEP;12;Meses Epoca Media;11.5;68.955
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;IM;1;Meses Epoca Baja;7;47.14
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;IM;2;Meses Epoca Baja;7;47.14
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;IM;3;Meses Epoca Baja;7;47.14
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;IM;4;Meses Epoca Media;6.525;65.65
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;IM;5;Meses Epoca Media;6.525;65.65
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;IM;6;Meses Epoca Alta;5.95;85.06
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;IM;7;Meses Epoca Alta;5.95;85.06
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;IM;8;Meses Epoca Alta;5.95;85.06
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;IM;9;Meses Epoca Media;6.525;65.65
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;IM;10;Meses Epoca Media;6.525;65.65
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;IM;11;Meses Epoca Baja;7;47.14
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;IM;12;Meses Epoca Baja;7;47.14
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;MA;1;Meses Epoca Media;5.87;134.23
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;MA;2;Meses Epoca Alta;8.035;133.965
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;MA;3;Meses Epoca Alta;8.035;133.965
